Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Fujian,China,26.0789,117.9874,2020-01-22,1.0,0.0,China / Fujian,,,,
Fujian,China,26.0789,117.9874,2020-01-23,5.0,0.0,China / Fujian,4.0,0.0,,
Fujian,China,26.0789,117.9874,2020-01-24,10.0,0.0,China / Fujian,5.0,0.0,,
Fujian,China,26.0789,117.9874,2020-01-25,18.0,0.0,China / Fujian,8.0,0.0,,
Fujian,China,26.0789,117.9874,2020-01-26,35.0,0.0,China / Fujian,17.0,0.0,,
Fujian,China,26.0789,117.9874,2020-01-27,59.0,0.0,China / Fujian,24.0,0.0,,
Fujian,China,26.0789,117.9874,2020-01-28,80.0,0.0,China / Fujian,21.0,0.0,,
Fujian,China,26.0789,117.9874,2020-01-29,84.0,0.0,China / Fujian,4.0,0.0,11.857142857142858,0.0
Fujian,China,26.0789,117.9874,2020-01-30,101.0,0.0,China / Fujian,17.0,0.0,13.714285714285714,0.0
Fujian,China,26.0789,117.9874,2020-01-31,120.0,0.0,China / Fujian,19.0,0.0,15.714285714285714,0.0
Fujian,China,26.0789,117.9874,2020-02-01,144.0,0.0,China / Fujian,24.0,0.0,18.0,0.0
Fujian,China,26.0789,117.9874,2020-02-02,159.0,0.0,China / Fujian,15.0,0.0,17.714285714285715,0.0
Fujian,China,26.0789,117.9874,2020-02-03,179.0,0.0,China / Fujian,20.0,0.0,17.142857142857142,0.0
Fujian,China,26.0789,117.9874,2020-02-04,194.0,0.0,China / Fujian,15.0,0.0,16.285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-02-05,205.0,0.0,China / Fujian,11.0,0.0,17.285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-02-06,215.0,0.0,China / Fujian,10.0,0.0,16.285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-02-07,224.0,0.0,China / Fujian,9.0,0.0,14.857142857142858,0.0
Fujian,China,26.0789,117.9874,2020-02-08,239.0,0.0,China / Fujian,15.0,0.0,13.571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-02-09,250.0,0.0,China / Fujian,11.0,0.0,13.0,0.0
Fujian,China,26.0789,117.9874,2020-02-10,261.0,0.0,China / Fujian,11.0,0.0,11.714285714285714,0.0
Fujian,China,26.0789,117.9874,2020-02-11,267.0,0.0,China / Fujian,6.0,0.0,10.428571428571429,0.0
Fujian,China,26.0789,117.9874,2020-02-12,272.0,0.0,China / Fujian,5.0,0.0,9.571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-02-13,279.0,0.0,China / Fujian,7.0,0.0,9.142857142857142,0.0
Fujian,China,26.0789,117.9874,2020-02-14,281.0,0.0,China / Fujian,2.0,0.0,8.142857142857142,0.0
Fujian,China,26.0789,117.9874,2020-02-15,285.0,0.0,China / Fujian,4.0,0.0,6.571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-02-16,287.0,0.0,China / Fujian,2.0,0.0,5.285714285714286,0.0
Fujian,China,26.0789,117.9874,2020-02-17,290.0,0.0,China / Fujian,3.0,0.0,4.142857142857143,0.0
Fujian,China,26.0789,117.9874,2020-02-18,292.0,0.0,China / Fujian,2.0,0.0,3.5714285714285716,0.0
Fujian,China,26.0789,117.9874,2020-02-19,293.0,0.0,China / Fujian,1.0,0.0,3.0,0.0
Fujian,China,26.0789,117.9874,2020-02-20,293.0,1.0,China / Fujian,0.0,1.0,2.0,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-21,293.0,1.0,China / Fujian,0.0,0.0,1.7142857142857142,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-22,293.0,1.0,China / Fujian,0.0,0.0,1.1428571428571428,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-23,293.0,1.0,China / Fujian,0.0,0.0,0.8571428571428571,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-24,293.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-25,294.0,1.0,China / Fujian,1.0,0.0,0.2857142857142857,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-26,294.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.14285714285714285
Fujian,China,26.0789,117.9874,2020-02-27,296.0,1.0,China / Fujian,2.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-02-28,296.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-02-29,296.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-03-01,296.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-03-02,296.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-03-03,296.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-03-04,296.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-03-05,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-06,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-07,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-08,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-09,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-10,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-11,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-12,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-13,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-14,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-15,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-16,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-17,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-18,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-19,296.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-03-20,299.0,1.0,China / Fujian,3.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-03-21,303.0,1.0,China / Fujian,4.0,0.0,1.0,0.0
Fujian,China,26.0789,117.9874,2020-03-22,313.0,1.0,China / Fujian,10.0,0.0,2.4285714285714284,0.0
Fujian,China,26.0789,117.9874,2020-03-23,313.0,1.0,China / Fujian,0.0,0.0,2.4285714285714284,0.0
Fujian,China,26.0789,117.9874,2020-03-24,318.0,1.0,China / Fujian,5.0,0.0,3.142857142857143,0.0
Fujian,China,26.0789,117.9874,2020-03-25,322.0,1.0,China / Fujian,4.0,0.0,3.7142857142857144,0.0
Fujian,China,26.0789,117.9874,2020-03-26,328.0,1.0,China / Fujian,6.0,0.0,4.571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-03-27,331.0,1.0,China / Fujian,3.0,0.0,4.571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-03-28,337.0,1.0,China / Fujian,6.0,0.0,4.857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-03-29,338.0,1.0,China / Fujian,1.0,0.0,3.5714285714285716,0.0
Fujian,China,26.0789,117.9874,2020-03-30,340.0,1.0,China / Fujian,2.0,0.0,3.857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-03-31,343.0,1.0,China / Fujian,3.0,0.0,3.5714285714285716,0.0
Fujian,China,26.0789,117.9874,2020-04-01,345.0,1.0,China / Fujian,2.0,0.0,3.2857142857142856,0.0
Fujian,China,26.0789,117.9874,2020-04-02,345.0,1.0,China / Fujian,0.0,0.0,2.4285714285714284,0.0
Fujian,China,26.0789,117.9874,2020-04-03,349.0,1.0,China / Fujian,4.0,0.0,2.5714285714285716,0.0
Fujian,China,26.0789,117.9874,2020-04-04,350.0,1.0,China / Fujian,1.0,0.0,1.8571428571428572,0.0
Fujian,China,26.0789,117.9874,2020-04-05,350.0,1.0,China / Fujian,0.0,0.0,1.7142857142857142,0.0
Fujian,China,26.0789,117.9874,2020-04-06,350.0,1.0,China / Fujian,0.0,0.0,1.4285714285714286,0.0
Fujian,China,26.0789,117.9874,2020-04-07,351.0,1.0,China / Fujian,1.0,0.0,1.1428571428571428,0.0
Fujian,China,26.0789,117.9874,2020-04-08,351.0,1.0,China / Fujian,0.0,0.0,0.8571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-04-09,351.0,1.0,China / Fujian,0.0,0.0,0.8571428571428571,0.0
Fujian,China,26.0789,117.9874,2020-04-10,351.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-11,351.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-04-12,352.0,1.0,China / Fujian,1.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-13,352.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-14,353.0,1.0,China / Fujian,1.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-15,353.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-16,353.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-17,354.0,1.0,China / Fujian,1.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-04-18,355.0,1.0,China / Fujian,1.0,0.0,0.5714285714285714,0.0
Fujian,China,26.0789,117.9874,2020-04-19,355.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-04-20,355.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-04-21,355.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-22,355.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-23,355.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-04-24,355.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-04-25,355.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-04-26,355.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-04-27,355.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-04-28,355.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-04-29,355.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-04-30,356.0,1.0,China / Fujian,1.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-01,356.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-02,356.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-03,356.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-04,356.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-05,356.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-06,356.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-07,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-08,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-09,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-10,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-11,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-12,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-13,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-14,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-15,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-16,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-17,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-18,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-19,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-20,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-21,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-22,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-23,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-24,356.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-05-25,357.0,1.0,China / Fujian,1.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-26,357.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-05-27,358.0,1.0,China / Fujian,1.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-05-28,358.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-05-29,358.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-05-30,358.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-05-31,358.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-06-01,358.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-06-02,358.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-06-03,358.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-06-04,358.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-06-05,358.0,1.0,China / Fujian,0.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-06-06,359.0,1.0,China / Fujian,1.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-06-07,359.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-06-08,359.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-06-09,359.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
Fujian,China,26.0789,117.9874,2020-06-10,360.0,1.0,China / Fujian,1.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-06-11,361.0,1.0,China / Fujian,1.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-06-12,361.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-06-13,361.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-06-14,362.0,1.0,China / Fujian,1.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-06-15,362.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-06-16,362.0,1.0,China / Fujian,0.0,0.0,0.42857142857142855,0.0
Fujian,China,26.0789,117.9874,2020-06-17,362.0,1.0,China / Fujian,0.0,0.0,0.2857142857142857,0.0
Fujian,China,26.0789,117.9874,2020-06-18,362.0,1.0,China / Fujian,0.0,0.0,0.14285714285714285,0.0
