Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Gansu,China,35.7518,104.2861,2020-01-22,0.0,0.0,China / Gansu,,,,
Gansu,China,35.7518,104.2861,2020-01-23,2.0,0.0,China / Gansu,2.0,0.0,,
Gansu,China,35.7518,104.2861,2020-01-24,2.0,0.0,China / Gansu,0.0,0.0,,
Gansu,China,35.7518,104.2861,2020-01-25,4.0,0.0,China / Gansu,2.0,0.0,,
Gansu,China,35.7518,104.2861,2020-01-26,7.0,0.0,China / Gansu,3.0,0.0,,
Gansu,China,35.7518,104.2861,2020-01-27,14.0,0.0,China / Gansu,7.0,0.0,,
Gansu,China,35.7518,104.2861,2020-01-28,19.0,0.0,China / Gansu,5.0,0.0,,
Gansu,China,35.7518,104.2861,2020-01-29,24.0,0.0,China / Gansu,5.0,0.0,3.4285714285714284,0.0
Gansu,China,35.7518,104.2861,2020-01-30,26.0,0.0,China / Gansu,2.0,0.0,3.4285714285714284,0.0
Gansu,China,35.7518,104.2861,2020-01-31,29.0,0.0,China / Gansu,3.0,0.0,3.857142857142857,0.0
Gansu,China,35.7518,104.2861,2020-02-01,40.0,0.0,China / Gansu,11.0,0.0,5.142857142857143,0.0
Gansu,China,35.7518,104.2861,2020-02-02,51.0,0.0,China / Gansu,11.0,0.0,6.285714285714286,0.0
Gansu,China,35.7518,104.2861,2020-02-03,55.0,0.0,China / Gansu,4.0,0.0,5.857142857142857,0.0
Gansu,China,35.7518,104.2861,2020-02-04,57.0,0.0,China / Gansu,2.0,0.0,5.428571428571429,0.0
Gansu,China,35.7518,104.2861,2020-02-05,62.0,0.0,China / Gansu,5.0,0.0,5.428571428571429,0.0
Gansu,China,35.7518,104.2861,2020-02-06,62.0,0.0,China / Gansu,0.0,0.0,5.142857142857143,0.0
Gansu,China,35.7518,104.2861,2020-02-07,67.0,0.0,China / Gansu,5.0,0.0,5.428571428571429,0.0
Gansu,China,35.7518,104.2861,2020-02-08,79.0,1.0,China / Gansu,12.0,1.0,5.571428571428571,0.14285714285714285
Gansu,China,35.7518,104.2861,2020-02-09,83.0,2.0,China / Gansu,4.0,1.0,4.571428571428571,0.2857142857142857
Gansu,China,35.7518,104.2861,2020-02-10,83.0,2.0,China / Gansu,0.0,0.0,4.0,0.2857142857142857
Gansu,China,35.7518,104.2861,2020-02-11,86.0,2.0,China / Gansu,3.0,0.0,4.142857142857143,0.2857142857142857
Gansu,China,35.7518,104.2861,2020-02-12,87.0,2.0,China / Gansu,1.0,0.0,3.5714285714285716,0.2857142857142857
Gansu,China,35.7518,104.2861,2020-02-13,90.0,2.0,China / Gansu,3.0,0.0,4.0,0.2857142857142857
Gansu,China,35.7518,104.2861,2020-02-14,90.0,2.0,China / Gansu,0.0,0.0,3.2857142857142856,0.2857142857142857
Gansu,China,35.7518,104.2861,2020-02-15,90.0,2.0,China / Gansu,0.0,0.0,1.5714285714285714,0.14285714285714285
Gansu,China,35.7518,104.2861,2020-02-16,90.0,2.0,China / Gansu,0.0,0.0,1.0,0.0
Gansu,China,35.7518,104.2861,2020-02-17,91.0,2.0,China / Gansu,1.0,0.0,1.1428571428571428,0.0
Gansu,China,35.7518,104.2861,2020-02-18,91.0,2.0,China / Gansu,0.0,0.0,0.7142857142857143,0.0
Gansu,China,35.7518,104.2861,2020-02-19,91.0,2.0,China / Gansu,0.0,0.0,0.5714285714285714,0.0
Gansu,China,35.7518,104.2861,2020-02-20,91.0,2.0,China / Gansu,0.0,0.0,0.14285714285714285,0.0
Gansu,China,35.7518,104.2861,2020-02-21,91.0,2.0,China / Gansu,0.0,0.0,0.14285714285714285,0.0
Gansu,China,35.7518,104.2861,2020-02-22,91.0,2.0,China / Gansu,0.0,0.0,0.14285714285714285,0.0
Gansu,China,35.7518,104.2861,2020-02-23,91.0,2.0,China / Gansu,0.0,0.0,0.14285714285714285,0.0
Gansu,China,35.7518,104.2861,2020-02-24,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-02-25,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-02-26,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-02-27,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-02-28,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-02-29,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-03-01,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-03-02,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
Gansu,China,35.7518,104.2861,2020-03-03,91.0,2.0,China / Gansu,0.0,0.0,0.0,0.0
