Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Hebei,China,39.549,116.1306,2020-01-22,1.0,0.0,China / Hebei,,,,
Hebei,China,39.549,116.1306,2020-01-23,1.0,1.0,China / Hebei,0.0,1.0,,
Hebei,China,39.549,116.1306,2020-01-24,2.0,1.0,China / Hebei,1.0,0.0,,
Hebei,China,39.549,116.1306,2020-01-25,8.0,1.0,China / Hebei,6.0,0.0,,
Hebei,China,39.549,116.1306,2020-01-26,13.0,1.0,China / Hebei,5.0,0.0,,
Hebei,China,39.549,116.1306,2020-01-27,18.0,1.0,China / Hebei,5.0,0.0,,
Hebei,China,39.549,116.1306,2020-01-28,33.0,1.0,China / Hebei,15.0,0.0,,
Hebei,China,39.549,116.1306,2020-01-29,48.0,1.0,China / Hebei,15.0,0.0,6.714285714285714,0.14285714285714285
Hebei,China,39.549,116.1306,2020-01-30,65.0,1.0,China / Hebei,17.0,0.0,9.142857142857142,0.0
Hebei,China,39.549,116.1306,2020-01-31,82.0,1.0,China / Hebei,17.0,0.0,11.428571428571429,0.0
Hebei,China,39.549,116.1306,2020-02-01,96.0,1.0,China / Hebei,14.0,0.0,12.571428571428571,0.0
Hebei,China,39.549,116.1306,2020-02-02,104.0,1.0,China / Hebei,8.0,0.0,13.0,0.0
Hebei,China,39.549,116.1306,2020-02-03,113.0,1.0,China / Hebei,9.0,0.0,13.571428571428571,0.0
Hebei,China,39.549,116.1306,2020-02-04,126.0,1.0,China / Hebei,13.0,0.0,13.285714285714286,0.0
Hebei,China,39.549,116.1306,2020-02-05,135.0,1.0,China / Hebei,9.0,0.0,12.428571428571429,0.0
Hebei,China,39.549,116.1306,2020-02-06,157.0,1.0,China / Hebei,22.0,0.0,13.142857142857142,0.0
Hebei,China,39.549,116.1306,2020-02-07,172.0,1.0,China / Hebei,15.0,0.0,12.857142857142858,0.0
Hebei,China,39.549,116.1306,2020-02-08,195.0,1.0,China / Hebei,23.0,0.0,14.142857142857142,0.0
Hebei,China,39.549,116.1306,2020-02-09,206.0,2.0,China / Hebei,11.0,1.0,14.571428571428571,0.14285714285714285
Hebei,China,39.549,116.1306,2020-02-10,218.0,2.0,China / Hebei,12.0,0.0,15.0,0.14285714285714285
Hebei,China,39.549,116.1306,2020-02-11,239.0,2.0,China / Hebei,21.0,0.0,16.142857142857142,0.14285714285714285
