Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0.0,0.0,China / Inner Mongolia,,,,
Inner Mongolia,China,44.0935,113.9448,2020-01-23,0.0,0.0,China / Inner Mongolia,0.0,0.0,,
Inner Mongolia,China,44.0935,113.9448,2020-01-24,1.0,0.0,China / Inner Mongolia,1.0,0.0,,
Inner Mongolia,China,44.0935,113.9448,2020-01-25,7.0,0.0,China / Inner Mongolia,6.0,0.0,,
Inner Mongolia,China,44.0935,113.9448,2020-01-26,7.0,0.0,China / Inner Mongolia,0.0,0.0,,
Inner Mongolia,China,44.0935,113.9448,2020-01-27,11.0,0.0,China / Inner Mongolia,4.0,0.0,,
Inner Mongolia,China,44.0935,113.9448,2020-01-28,15.0,0.0,China / Inner Mongolia,4.0,0.0,,
Inner Mongolia,China,44.0935,113.9448,2020-01-29,16.0,0.0,China / Inner Mongolia,1.0,0.0,2.2857142857142856,0.0
Inner Mongolia,China,44.0935,113.9448,2020-01-30,19.0,0.0,China / Inner Mongolia,3.0,0.0,2.7142857142857144,0.0
Inner Mongolia,China,44.0935,113.9448,2020-01-31,20.0,0.0,China / Inner Mongolia,1.0,0.0,2.7142857142857144,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-01,23.0,0.0,China / Inner Mongolia,3.0,0.0,2.2857142857142856,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-02,27.0,0.0,China / Inner Mongolia,4.0,0.0,2.857142857142857,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-03,34.0,0.0,China / Inner Mongolia,7.0,0.0,3.2857142857142856,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-04,35.0,0.0,China / Inner Mongolia,1.0,0.0,2.857142857142857,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-05,42.0,0.0,China / Inner Mongolia,7.0,0.0,3.7142857142857144,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-06,46.0,0.0,China / Inner Mongolia,4.0,0.0,3.857142857142857,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-07,50.0,0.0,China / Inner Mongolia,4.0,0.0,4.285714285714286,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-08,52.0,0.0,China / Inner Mongolia,2.0,0.0,4.142857142857143,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-09,54.0,0.0,China / Inner Mongolia,2.0,0.0,3.857142857142857,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-10,58.0,0.0,China / Inner Mongolia,4.0,0.0,3.4285714285714284,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-11,58.0,0.0,China / Inner Mongolia,0.0,0.0,3.2857142857142856,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-12,60.0,0.0,China / Inner Mongolia,2.0,0.0,2.5714285714285716,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-13,61.0,0.0,China / Inner Mongolia,1.0,0.0,2.142857142857143,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-14,65.0,0.0,China / Inner Mongolia,4.0,0.0,2.142857142857143,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-15,68.0,0.0,China / Inner Mongolia,3.0,0.0,2.2857142857142856,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-16,70.0,0.0,China / Inner Mongolia,2.0,0.0,2.2857142857142856,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-17,72.0,0.0,China / Inner Mongolia,2.0,0.0,2.0,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-18,73.0,0.0,China / Inner Mongolia,1.0,0.0,2.142857142857143,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-19,75.0,0.0,China / Inner Mongolia,2.0,0.0,2.142857142857143,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-20,75.0,0.0,China / Inner Mongolia,0.0,0.0,2.0,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-21,75.0,0.0,China / Inner Mongolia,0.0,0.0,1.4285714285714286,0.0
Inner Mongolia,China,44.0935,113.9448,2020-02-22,75.0,0.0,China / Inner Mongolia,0.0,0.0,1.0,0.0
