country,province,lastDate,latitude,longitude,date,confirmed,confirmedNew,confirmedNewMean,deaths,deathsNew,deathsNewMean
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-01-28,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-01-29,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-01-30,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-01-31,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-01,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-02,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-03,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-04,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-05,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-06,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-07,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-08,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-09,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-10,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-11,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-12,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-13,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-14,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-15,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-16,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-17,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-18,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-19,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-20,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-21,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-22,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-23,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-24,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-25,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-26,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-27,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-28,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-02-29,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-01,0,0,0.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-02,1,1,0.14285714285714285,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-03,1,0,0.14285714285714285,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-04,1,0,0.14285714285714285,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-05,5,4,0.7142857142857143,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-06,5,0,0.7142857142857143,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-07,5,0,0.7142857142857143,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-08,11,6,1.5714285714285714,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-09,15,4,2.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-10,20,5,2.7142857142857144,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-11,21,1,2.857142857142857,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-12,45,24,5.714285714285714,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-13,86,41,11.571428571428571,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-14,103,17,14.0,0,0,0.0
Saudi Arabia,,2020-11-21,23.885942,45.079162,2020-03-15,103,0,13.142857142857142,0,0,0.0
