country,province,lastDate,latitude,longitude,date,confirmed,confirmedNew,confirmedNewMean,deaths,deathsNew,deathsNewMean
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-01-28,46,11,6.571428571428571,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-01-29,56,10,8.0,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-01-30,63,7,8.571428571428571,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-01-31,87,24,11.714285714285714,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-01,101,14,12.285714285714286,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-02,116,15,13.428571428571429,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-03,128,12,13.285714285714286,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-04,142,14,13.714285714285714,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-05,165,23,15.571428571428571,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-06,173,8,15.714285714285714,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-07,184,11,13.857142857142858,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-08,195,11,13.428571428571429,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-09,208,13,13.142857142857142,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-10,213,5,12.142857142857142,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-11,219,6,11.0,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-12,225,6,8.571428571428571,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-13,229,4,8.0,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-14,230,1,6.571428571428571,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-15,232,2,5.285714285714286,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-16,236,4,4.0,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-17,240,4,3.857142857142857,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-18,240,0,3.0,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-19,242,2,2.4285714285714284,0,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-20,245,3,2.2857142857142856,1,1,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-21,245,0,2.142857142857143,1,0,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-22,245,0,1.8571428571428572,1,0,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-23,245,0,1.2857142857142858,1,0,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-24,245,0,0.7142857142857143,1,0,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-25,245,0,0.7142857142857143,1,0,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-26,245,0,0.42857142857142855,1,0,0.14285714285714285
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-27,245,0,0.0,1,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-28,245,0,0.0,1,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-02-29,245,0,0.0,1,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-03-01,245,0,0.0,1,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-03-02,245,0,0.0,1,0,0.0
China,Shaanxi,2020-11-22,35.1917,108.8701,2020-03-03,245,0,0.0,1,0,0.0
