country,province,lastDate,latitude,longitude,date,confirmed,confirmedNew,confirmedNewMean,deaths,deathsNew,deathsNewMean
US,,2020-11-22,40.0,-100.0,2020-01-28,5,0,0.5714285714285714,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-01-29,6,1,0.7142857142857143,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-01-30,6,0,0.7142857142857143,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-01-31,8,2,0.8571428571428571,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-01,8,0,0.8571428571428571,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-02,8,0,0.42857142857142855,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-03,11,3,0.8571428571428571,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-04,11,0,0.8571428571428571,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-05,11,0,0.7142857142857143,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-06,12,1,0.8571428571428571,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-07,12,0,0.5714285714285714,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-08,12,0,0.5714285714285714,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-09,12,0,0.5714285714285714,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-10,12,0,0.14285714285714285,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-11,13,1,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-12,13,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-13,14,1,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-14,14,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-15,14,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-16,14,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-17,14,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-18,14,0,0.14285714285714285,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-19,14,0,0.14285714285714285,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-20,14,0,0.0,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-21,16,2,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-22,16,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-23,16,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-24,16,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-25,16,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-26,16,0,0.2857142857142857,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-27,17,1,0.42857142857142855,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-28,17,0,0.14285714285714285,0,0,0.0
US,,2020-11-22,40.0,-100.0,2020-02-29,25,8,1.2857142857142858,1,1,0.14285714285714285
US,,2020-11-22,40.0,-100.0,2020-03-01,32,7,2.2857142857142856,1,0,0.14285714285714285
US,,2020-11-22,40.0,-100.0,2020-03-02,55,23,5.571428571428571,6,5,0.8571428571428571
US,,2020-11-22,40.0,-100.0,2020-03-03,74,19,8.285714285714286,7,1,1.0
US,,2020-11-22,40.0,-100.0,2020-03-04,107,33,13.0,11,4,1.5714285714285714
US,,2020-11-22,40.0,-100.0,2020-03-05,184,77,23.857142857142858,12,1,1.7142857142857142
US,,2020-11-22,40.0,-100.0,2020-03-06,237,53,31.428571428571427,14,2,2.0
US,,2020-11-22,40.0,-100.0,2020-03-07,403,166,54.0,17,3,2.2857142857142856
US,,2020-11-22,40.0,-100.0,2020-03-08,519,116,69.57142857142857,21,4,2.857142857142857
US,,2020-11-22,40.0,-100.0,2020-03-09,594,75,77.0,22,1,2.2857142857142856
US,,2020-11-22,40.0,-100.0,2020-03-10,782,188,101.14285714285714,28,6,3.0
US,,2020-11-22,40.0,-100.0,2020-03-11,1147,365,148.57142857142858,33,5,3.142857142857143
US,,2020-11-22,40.0,-100.0,2020-03-12,1586,439,200.28571428571428,43,10,4.428571428571429
