country, province, lastDate, latitude, longitude, date, confirmed, confirmedNew, confirmedNewMean, deaths, deathsNew, deathsNewMean
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-01-28,44,18,6.142857142857143,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-01-29,55,11,7.714285714285714,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-01-30,70,15,9.714285714285714,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-01-31,83,13,11.142857142857142,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-01,93,10,11.714285714285714,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-02,105,12,12.714285714285714,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-03,117,12,13.0,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-04,122,5,11.142857142857142,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-05,128,6,10.428571428571429,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-06,133,5,9.0,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-07,138,5,7.857142857142857,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-08,138,0,6.428571428571429,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-09,141,3,5.142857142857143,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-10,149,8,4.571428571428571,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-11,153,4,4.428571428571429,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-12,154,1,3.7142857142857144,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-13,156,2,3.2857142857142856,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-14,162,6,3.4285714285714284,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-15,168,6,4.285714285714286,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-16,171,3,4.285714285714286,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-17,171,0,3.142857142857143,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-18,172,1,2.7142857142857144,0,0,0.0
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-19,172,0,2.5714285714285716,1,1,0.14285714285714285
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-20,174,2,2.5714285714285716,2,1,0.2857142857142857
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-21,174,0,1.7142857142857142,2,0,0.2857142857142857
China,Yunnan,2020-11-17,24.974,101.48700000000001,2020-02-22,174,0,0.8571428571428571,2,0,0.2857142857142857
